HOUSEHOLD_ID,COVERED,COV_LY,PRIVATE,AGE,INCOME,POVERTY_LEVEL,MEDICAID,SEX,EDUC,WORK,GRP,ETHNICITY,YEAR,FIPS,VIRGINIA,MALE,SUP2019,HIGHER_BAC,TREAT,POOREST,WHITE,OTHER_ETHNICITY
38770,0,2,0,34,0,1,0,1,37,1,2,2,2017,51,1,1,0,0,0,1,0,1
38770,0,2,0,31,15000,2,0,2,41,1,2,2,2017,51,1,0,0,1,0,0,0,1
38778,1,1,1,53,0,1,0,2,34,0,2,2,2017,51,1,0,0,0,0,1,0,1
38779,1,1,0,50,8820,1,1,1,35,0,2,2,2017,51,1,1,0,0,0,1,0,1
38788,0,2,0,21,4000,1,0,1,39,1,2,1,2017,51,1,1,0,1,0,1,1,0
38791,1,1,0,61,7500,1,1,1,40,0,2,2,2017,51,1,1,0,1,0,1,0,1
38802,1,1,0,58,8820,1,1,2,36,0,2,2,2017,51,1,0,0,0,0,1,0,1
38807,0,1,0,43,11736,1,0,2,43,1,2,2,2017,51,1,0,0,1,0,1,0,1
38812,1,1,0,43,1000,1,1,2,40,1,2,2,2017,51,1,0,0,1,0,1,0,1
38828,1,1,0,36,643,1,1,2,40,1,2,2,2017,51,1,0,0,1,0,1,0,1
38828,1,1,0,42,0,1,1,2,33,1,2,2,2017,51,1,0,0,0,0,1,0,1
38828,1,1,0,42,0,1,1,1,35,1,2,2,2017,51,1,1,0,0,0,1,0,1
38828,1,1,0,41,0,1,1,1,34,1,2,2,2017,51,1,1,0,0,0,1,0,1
38840,0,2,0,56,0,1,0,1,33,0,2,1,2017,51,1,1,0,0,0,1,1,0
38843,1,1,1,61,0,1,0,1,39,0,1,1,2017,51,1,1,0,1,0,1,1,0
38843,1,1,1,59,0,1,0,2,39,0,1,1,2017,51,1,0,0,1,0,1,1,0
38852,1,1,1,28,0,1,0,2,43,0,2,1,2017,51,1,0,0,1,0,1,1,0
38855,1,1,1,27,17600,3,1,2,40,1,1,2,2017,51,1,0,0,1,0,1,0,1
38869,0,1,0,36,28098,2,0,2,40,1,1,1,2017,51,1,0,0,1,0,0,1,0
38871,0,2,0,30,20000,2,0,1,39,1,2,1,2017,51,1,1,0,1,0,0,1,0
38871,0,2,0,28,16000,2,0,2,39,1,2,1,2017,51,1,0,0,1,0,0,1,0
38886,1,1,1,49,15601,2,0,2,39,1,1,2,2017,51,1,0,0,1,0,0,0,1
38891,0,2,0,30,0,1,0,1,43,0,2,2,2017,51,1,1,0,1,0,1,0,1
38891,0,2,0,32,0,1,0,2,43,0,2,2,2017,51,1,0,0,1,0,1,0,1
38924,1,1,1,19,3000,1,0,1,40,1,1,1,2017,51,1,1,0,1,0,1,1,0
38927,1,1,1,24,8200,1,0,2,39,1,1,2,2017,51,1,0,0,1,0,1,0,1
38930,1,1,0,29,14961,1,1,2,42,1,2,2,2017,51,1,0,0,1,0,1,0,1
38937,1,1,1,53,49,1,0,1,39,5,2,2,2017,51,1,1,0,1,0,1,0,1
38937,1,1,1,48,16035,3,0,2,43,4,2,2,2017,51,1,0,0,1,0,1,0,1
38938,1,1,1,41,27001,3,0,2,38,1,1,2,2017,51,1,0,0,0,0,1,0,1
38943,1,1,1,40,18000,3,0,1,40,1,1,1,2017,51,1,1,0,1,0,1,1,0
38943,1,1,1,35,22013,3,0,2,39,1,1,1,2017,51,1,0,0,1,0,1,1,0
38947,1,2,0,34,23010,3,1,2,40,1,2,1,2017,51,1,0,0,1,0,1,1,0
38949,0,2,0,58,5,1,0,1,39,1,2,2,2017,51,1,1,0,1,0,1,0,1
39034,0,2,0,62,10320,1,0,2,40,1,2,1,2017,51,1,0,0,1,0,1,1,0
39046,0,2,0,31,0,1,0,2,34,0,2,3,2017,51,1,0,0,0,0,1,0,1
39049,1,1,1,23,1101,1,0,2,40,1,1,1,2017,51,1,0,0,1,0,1,1,0
39049,1,1,1,25,289,1,0,2,40,1,1,1,2017,51,1,0,0,1,0,1,1,0
39051,0,2,0,37,12000,1,0,1,39,6,2,1,2017,51,1,1,0,1,0,1,1,0
39051,0,2,0,36,3149,1,0,2,38,0,2,1,2017,51,1,0,0,0,0,1,1,0
39074,0,2,0,51,0,3,0,2,34,0,2,1,2017,51,1,0,0,0,0,1,1,0
39074,0,2,0,58,22000,3,0,1,41,1,2,1,2017,51,1,1,0,1,0,1,1,0
39074,1,1,1,26,18000,3,0,2,40,4,1,1,2017,51,1,0,0,1,0,1,1,0
39074,0,2,0,24,0,3,0,1,40,0,2,1,2017,51,1,1,0,1,0,1,1,0
39074,0,2,0,19,0,3,0,2,40,0,2,1,2017,51,1,0,0,1,0,1,1,0
